=======================================================
បញ្ជីទីតាំង និង ចំណុចទាំងអស់នៃផែនទីវត្ត (file1.txt)
=======================================================

១. ធម្មសាលាសភា (X: 16.15%, Y: 44.31%)
២. មហាកុដិ (X: 18.84%, Y: 53.83%)
៣. កុដិសាឡុម (X: 14.70%, Y: 69.67%)
៤. កុដិតូច (X: 4.45%, Y: 35.40%)
៥. កុដិថ្មី (X: 16.25%, Y: 26.81%)
៦. កុដិគ្រូធំ (X: 24.33%, Y: 26.81%)
៧. ព្រះវិហារ (X: 37.47%, Y: 54.24%)
៨. ដើមពោធិព្រឹក្ស (X: 36.02%, Y: 65.84%)
៩. បណ្ណាល័យ (X: 58.80%, Y: 54.14%)
១០. ពុទ្ឌកបឋមសិក្សាកម្រងហ៊ុនណេង (X: 58.49%, Y: 44.51%)
១១. កុដិយាយតា (X: 43.58%, Y: 26.71%)
១២. ប៉ុស្តវិទ្យុ (X: 54.14%, Y: 21.64%)
១៣. អាងទឹក (X: 66.25%, Y: 29.30%)
១៤. អាងទឹកវិទ្យុ (X: 62.42%, Y: 18.94%)
១៥. ព្រះផ្ទំ (X: 64.91%, Y: 36.34%)
១៦. ចេតីយឧកញ៉ា ចាយ ស៊ាងអ៊ី (X: 53.21%, Y: 78.57%)
A. ក្លោងទ្វារទី១ (X: 76.60%, Y: 6.31%)
B. ក្លោងទ្វារទី២ (X: 28.78%, Y: 19.25%)
C. ក្លោងទ្វារទី៣ (X: 93.89%, Y: 55.49%)
D. ក្លោងទ្វារទី៤ (X: 73.08%, Y: 70.70%)
E. ក្លោងទ្វារទី៥ (X: 4.24%, Y: 46.79%)
